source,rating
skis,8.93288590604027
sleet,8.079470198675496
slide,-23.885906040268456
slingshot,34.5921052631579
slippers,-65.85314685314685
smog,35.0
smoke,56.96666666666667
sniper,78.80794701986756
snooker,-53.157534246575345
snowball,-27.0
snowman,-76.30201342281879
soap,-60.98684210526316
sociopath,64.06711409395973
sodium,3.6933333333333334
softball,-35.81333333333333
sonar,-35.395973154362416
sore,18.373333333333335
spa,-60.346666666666664
space,33.98026315789474
spam,6.708609271523179
sparks,36.828947368421055
sport,-10.8
spring,-59.85906040268456
sprinkler,-55.92156862745098
squirrel,-43.096774193548384
stalker,78.28476821192054
stealing,65.90728476821192
steam,7.574324324324325
stethoscope,-72.56375838926175
stimulant,15.513333333333334
stingray,32.437086092715234
stone,-18.68027210884354
stranger,25.22818791946309
strangulation,87.78289473684211
straw,-64.0
stroller,-47.0
stunt,53.16447368421053
subway,-7.1118421052631575
suffocation,91.9041095890411
suicide,95.14965986394557
sulfur,32.8421052631579
summer,-45.329032258064515
summertime,-50.816326530612244
sunglasses,-72.7124183006536
sunlight,-15.80921052631579
sunscreen,-62.77777777777778
sunshine,-25.67549668874172
surgeon,-15.517006802721088
survival,-13.9
sweating,-46.549668874172184
swelling,29.92
sword,54.746753246753244
swordfish,7.232258064516129
symptom,14.040816326530612
syndrome,14.32
syringe,12.993055555555555
tablet,-24.933774834437084
tan,18.905405405405407
tank,45.41379310344828
tarp,-38.66887417218543
tattoo,-5.114093959731544
taxi,-29.20394736842105
tea,-71.58169934640523
tech,-29.197278911564627
technology,-17.39072847682119
termite,14.209150326797385
theater,-61.38775510204081
therapy,-51.77181208053691
thermometer,-64.21621621621621
tiger,66.92857142857143
torpedo,73.48666666666666
tortoise,-71.76027397260275
tourism,-31.0
toxins,69.51973684210526
tracksuit,-70.18
tractor,-4.42
traffic,21.55263157894737
trampoline,5.358108108108108
transplant,41.27741935483871
transportation,-6.582191780821918
trapeze,46.0
trash,4.565789473684211
trauma,61.086092715231786
treadmill,-20.233766233766232
trench,8.357615894039736
tricycle,-36.04575163398693
tripod,-61.019867549668874
trolley,-44.56666666666667
tuberculosis,68.04794520547945
tumbling,20.95394736842105
tumor,75.64429530201342
tuna,-51.142857142857146
turtle,-59.527027027027025
TV,-47.5472972972973
ulcer,33.06622516556291
unicycle,10.594594594594595
university,-49.92617449664429
uranium,59.397260273972606
vacation,-39.56375838926174
vaccine,-36.15862068965517
vacuum,-45.23529411764706
van,-15.878378378378379
vapor,-4.089041095890411
vehicles,14.655629139072847
venom,76.21710526315789
vertigo,24.23489932885906
victim,19.344370860927153
viper,63.29801324503311
virus,58.89542483660131
vodka,30.033112582781456
vomit,27.848684210526315
warfare,84.40522875816994
warming,-18.5974025974026
warrior,35.947712418300654
warship,52.66225165562914
wart,-13.553333333333333
watermelon,-77.83116883116882
wax,-27.31788079470199
welding,26.52317880794702
wellness,-75.44666666666667
whale,-9.283783783783784
wheelchair,-41.26315789473684
whirlpool,31.405228758169933
wildlife,8.695945945945946
windscreen,-52.30065359477124
wine,-5.819354838709677
winter,8.778523489932885
wolf,46.50675675675676
workout,-34.285714285714285
workplace,-22.575342465753426
wound,38.973333333333336
wrestling,23.72108843537415
ashes,-20.666666666666668
batteries,-18.94039735099338
beach,-32.85526315789474
boats,0.7466666666666667
bully,54.61224489795919
bullying,60.703448275862065
burned,59.0
cigarettes,73.40136054421768
cigars,51.5472972972973
cops,3.835616438356164
crowds,8.818791946308725
fireworks,42.93377483443709
flames,64.54
germs,39.615894039735096
gloves,-78.26490066225166
heating,-32.79865771812081
horses,1.167741935483871
killing,94.19594594594595
machines,12.188311688311689
mountains,7.296551724137931
mushrooms,-7.046979865771812
parties,-19.39864864864865
spikes,45.75167785234899
steroids,42.651006711409394
swings,-16.82312925170068
toys,-48.85906040268456
trains,-19.137254901960784
traveling,-7.876623376623376
trees,-61.12
trucks,7.467105263157895
vitamins,-59.13636363636363
waves,17.04
wires,13.38
fireplace,5.315789473684211
clothes dryer,-45.888888888888886
dishwasher,-62.84
fridge,-54.041666666666664
hair dryer,-39.66442953020134
icebox,-47.148648648648646
lawn mower,-4.066666666666666
microwave oven,-25.85135135135135
camera,-62.693333333333335
radiator,-33.54421768707483
sewing machine,-26.885906040268456
stove,12.3841059602649
toaster,-28.98
water heater,-26.72
aerosol spray,3.0268456375838926
air conditioning,-49.913907284768214
airplane,-6.033557046979865
automobile,7.302013422818792
bicycle,-15.067567567567568
combustion engine,11.378378378378379
computer,-48.68181818181818
contraceptive,-35.98692810457516
electric motor,-10.216216216216216
electricity,17.85234899328859
handgun,82.04697986577182
internet,2.639455782312925
motor vehicle,13.72549019607843
motorcycle,45.35761589403973
photography,-66.02027027027027
radio,-64.3921568627451
telegraph,-57.47402597402598
telephone,-63.3
television,-44.93288590604027
alcohol,37.91891891891892
antibiotics,-32.166666666666664
antiseptic cream,-56.270833333333336
aspirin,-19.443708609271525
cocaine,76.58783783783784
crack cocaine,87.90604026845638
heroin,91.69333333333333
LSD,50.13013698630137
marijuana,9.273333333333333
morphine,38.014084507042256
tobacco,68.85161290322581
valium,32.071895424836605
artificial intelligence,2.6754966887417218
electric car,-21.039473684210527
genetic modification,26.40268456375839
laser,22.0
quantum computing,-31.68421052631579
smartphone,-39.45333333333333
virtual reality,-33.59060402684564
coal power,29.52317880794702
crude oil,27.549668874172184
electric power,3.642857142857143
natural gas,5.557046979865772
nuclear power,20.068027210884352
solar power,-61.46979865771812
wind power,-52.88666666666666
corn syrup,-30.7027027027027
fertilizer,-6.602649006622516
recycling,-71.22448979591837
hip replacement,19.72108843537415
surgery,38.74342105263158
vaccination,-35.470588235294116
aircraft carrier,13.047619047619047
assault rifle,77.44594594594595
fighter jet,52.4671052631579
missile,80.80392156862744
night vision,-42.091503267973856
nuclear bomb,95.3112582781457
radar,-33.53691275167785
submarine,13.686274509803921
acting,-55.111111111111114
american football,20.82
archery,15.046979865771812
badminton,-49.20945945945946
baseball,-24.44078947368421
basketball,-37.41891891891892
beach volleyball,-46.53896103896104
billiards,-55.37671232876713
bird watching,-72.46979865771812
bowling,-50.496688741721854
boxing,52.90604026845637
chess,-81.40397350993378
college football,6.2105263157894735
cooking,-35.35526315789474
cycling,-2.2781456953642385
dance,-48.55263157894737
drama,-19.414473684210527
drawing,-81.28767123287672
embroidery,-64.66887417218543
fashion,-58.60666666666667
fencing,-5.217687074829932
field hockey,2.7857142857142856
figure skating,4.525974025974026
gaming,-36.34722222222222
gardening,-52.49006622516556
golfing,-42.22147651006711
gymnastics,6.147651006711409
handball,-31.05442176870748
hiking,-3.9805194805194803
hunting,38.79194630872483
ice hockey,20.048275862068966
ice skating,13.630872483221477
jogging,-34.88741721854305
judo,9.66225165562914
kite flying,-51.384105960264904
knitting,-70.18
magic,-29.681818181818183
martial arts,4.972972972972973
motor sports,48.013698630136986
origami,-74.48993288590604
painting,-63.63815789473684
pottery,-63.11724137931034
racquetball,-26.06081081081081
rock climbing,52.939189189189186
roller skating,3.225165562913907
rowing,-22.794701986754966
rugby,20.46
running,-24.80263157894737
sailing,18.39072847682119
scuba diving,24.953333333333333
sewing,-47.333333333333336
shopping,-51.7027027027027
singing,-73.96078431372548
skiing,27.589403973509935
soccer,-21.751633986928105
surfing,22.75
swimming,-4.712418300653595
table tennis,-60.18120805369127
tennis,-38.7248322147651
volleyball,-35.70469798657718
woodworking,-4.006756756756757
writing,-80.30263157894737
yoga,-58.95945945945946
accountant,-55.27272727272727
architect,-58.98701298701299
artist,-64.55629139072848
banker,-19.155405405405407
carpenter,-23.62
construction worker,5.228187919463087
doctor,-56.526666666666664
engineer,-40.038709677419355
hairdresser,-55.42763157894737
janitor,-59.55263157894737
journalist,-19.473333333333333
lawyer,-27.880794701986755
manager,-35.73026315789474
mechanic,-25.88961038961039
nurse,-54.94701986754967
pilot,-16.236842105263158
plumber,-51.384105960264904
police officer,-7.651006711409396
politician,25.75657894736842
professor,-63.873333333333335
programmer,-58.10666666666667
receptionist,-72.26174496644295
scientist,-52.45945945945946
